序号,标题,时长
1,1.1 自我介绍,6 分 6 秒
2,1.2 备考综述,7 分 5 秒
3,1.3 考情分析 - 选择,15 分 35 秒
4,1.3 考情分析 - 案例与论文,22 分 27 秒
5,1.4 软考通关心得,9 分 39 秒
6,1.5 系统架构师和分析师的区别,7 分 14 秒
7,2.1 软件工程考情分析,4 分 7 秒
8,2.2.1 软件工程综述 - 软件工程的定义,4 分 24 秒
9,2.2.2 软件工程综述 - 软件过程模型,35 分 31 秒
10,2.2.3 软件工程综述 - CMMI,5 分 48 秒
11,2.2.4 软件工程综述 - 净室软件工程,4 分 20 秒
12,2.2.5 软件工程综述 - 基于构件的软件工程,15 分 13 秒
13,2.2.6 软件工程综述 - 软件开发环境与工具,18 分 10 秒
14,2.3.1 需求工程 - 需求的定义,7 分 1 秒
15,2.3.2 需求工程 - 需求工程的定义,7 分 45 秒
16,2.3.3 需求工程 - 需求获取,7 分 13 秒
17,2.3.4 需求工程 - 需求管理,6 分 5 秒
18,2.3.5 需求工程 - 需求变更,10 分 4 秒
19,2.3.6 需求工程 - 需求追踪,2 分 38 秒
20,2.4.1 软件测试与度量 - 软件测试概述,11 分 3 秒
21,2.4.2 软件测试与度量 - 软件测试方法,9 分 36 秒
22,2.4.3 软件测试与度量 - 测试自动化,5 分 41 秒
23,2.4.4 软件测试与度量 - 软件测试的步骤,8 分 55 秒
24,2.4.5 软件测试与度量 - 其它类型测试,5 分 32 秒
25,2.4.6 软件测试与度量 - 软件复杂性度量,6 分 37 秒
26,2.5.1 软件维护 - 软件维护的内容,6 分 51 秒
27,2.5.2 软件维护遗留系统处理,12 分 5 秒
28,2.5.3 软件维护 - 文档管理,2 分 56 秒
29,2.6 历年试题讲解,23 分 55 秒
30,2.6 历年试题讲解 2,14 分 5 秒
31,2.6 历年试题讲解 3,12 分 35 秒
32,3.1 结构化考情分析,4 分 31 秒
33,3.2 系统设计概述,6 分 4 秒
34,3.3.1 结构化分析 - 概述,5 分 27 秒
35,3.3.2 结构化分析 - DFD 图定义,7 分 49 秒
36,3.3.3 结构化分析 - DFD 图的层次,5 分 5 秒
37,3.3.4 结构化分析 - DFD 图数据平衡原则,10 分 33 秒
38,3.3.5 结构化分析 - 数据字典,11 分 48 秒
39,3.3.6 结构化分析 - 小结,3 分 13 秒
40,3.4.1 结构化设计 - 基本概念,7 分 30 秒
41,3.4.1 结构化设计 - 耦合,9 分 59 秒
42,3.4.1 结构化设计 - 内聚,7 分 43 秒
43,3.4.2 结构化设计 - 概要设计,6 分 5 秒
44,3.4.3 结构化设计 - 详细设计,10 分 48 秒
45,3.4.4 结构化设计 - 小结,3 分 19 秒
46,3.5 历年试题讲解 - 选择,14 分 18 秒
47,3.6 历年试题讲解 - 案例,37 分 33 秒
48,4.1 面向对象考情分析,6 分 40 秒
49,4.2.1 面向对象基本概念 - 综述,7 分 55 秒
50,4.2.2 面向对象基本概念 - 抽象对象消息类,7 分 17 秒
51,4.2.3 面向对象基本概念 - 封装继承多态,6 分 49 秒
52,4.3.1UML - 综述,6 分 17 秒
53,4.3.3UML - 用例图,18 分 48 秒
54,4.3.3UML - 类图,15 分 37 秒
55,4.3.3UML - 对象图与包图,5 分 18 秒
56,4.3.4UML - 交互图,7 分 23 秒
57,4.3.4UML - 活动图,5 分 45 秒
58,4.3.4UML - 状态图,5 分 29 秒
59,4.3.4UML - 行为图小结,1 分 44 秒
60,4.3.5UML - 实现图,10 分 24 秒
61,4.3.6UML 小结,3 分 46 秒
62,4.4.1 面向对象的需求分析,4 分 58 秒
63,4.4.2 面向对象的系统分析,5 分 59 秒
64,4.4.3 面向对象的系统设计,5 分 34 秒
65,4.4.4 面向对象的编程,6 分 6 秒
66,4.5.1 设计模式概述,8 分 50 秒
67,4.5.2.1 创建型模式概述,2 分 36 秒
68,4.5.2.2.1 单例模式详解,1 分 53 秒
69,4.5.2.2.2 单例模式的 Java 实现,9 分 23 秒
70,4.5.2.3.1 工厂模式详解,3 分
71,4.5.2.3.2 工厂模式的 Java 实现,20 分 17 秒
72,4.5.2.4.1 原型模式详解,2 分 21 秒
73,4.5.2.4.2 原型模式的 Java 实现,12 分 28 秒
74,4.5.2.5 生成器模式详解,12 分 31 秒
75,4.5.2.6.1 抽象工厂模式详解,5 分 42 秒
76,4.5.2.6.2 抽象工厂模式的 Java 实现,22 分 38 秒
77,4.5.2.7 创建型模式总结,4 分 34 秒
78,4.5.3.1 结构型模式概述,1 分 1 秒
79,4.5.3.2.1 代理模式详解,4 分 11 秒
80,4.5.3.2.2 代理模式的 Java 实现,8 分 46 秒
81,4.5.3.3.1 适配器模式详解,4 分 11 秒
82,4.5.3.3.2 适配器模式的 Java 实现,16 分 38 秒
83,4.5.3.4.1 外观模式详解,5 分 34 秒
84,3.4.2 外观模式的 Java 实现,18 分 4 秒
85,4.5.3.5.1 装饰模式详解,2 分 45 秒
86,4.5.3.5.2 装饰模式的 Java 实现,25 分 12 秒
87,4.5.3.6.1 享元模式详解,7 分 20 秒
88,4.5.3.6.2 享元模式的 Java 实现,27 分 52 秒
89,4.5.3.7.1 组合模式详解,2 分 16 秒
90,4.5.3.7.2 组合模式的 Java 实现,21 分 20 秒
91,4.5.3.8.1 桥接模式详解,3 分 41 秒
92,4.5.3.8.2 桥接模式的 Java 实现,18 分
93,4.5.3.9 结构型模式总结,6 分 15 秒
94,4.5.4.1 行为型模式概述,1 分 47 秒
95,4.5.4.2.1 模板模式详解,1 分 16 秒
96,4.5.4.2.2 模板模式的 Java 实现,9 分 22 秒
97,4.5.4.3.1 策略模式详解,2 分 57 秒
98,4.5.4.3.2 策略模式的 Java 实现,11 分 9 秒
99,4.5.4.4.1 备忘录模式详解,1 分 37 秒
100,4.5.4.4.2 备忘录模式的 Java 实现,17 分 6 秒
101,4.5.4.5.1 迭代器模式详解,2 分 50 秒
102,4.5.4.5.2 迭代器模式的 Java 实现,24 分 21 秒
103,4.5.4.6.1 责任链模式详解,3 分 38 秒
104,4.5.4.6.2 责任链模式的 Java 实现,35 分 26 秒
105,4.5.4.7.1 中介者模式详解,2 分 19 秒
106,4.5.4.7.2 中介者模式的 Java 实现,30 分 25 秒
107,4.5.4.8.1 观察者模式详解,1 分 57 秒
